key,Order,Level,Section,Subsection,Criteria,Role model Rating,Weights,Description
Confirmed DeveloperSOFT SKILLSObjectivity & AdaptabilityTime management,56,Confirmed Developer,SOFT SKILLS,Objectivity & Adaptability,Time management,1.9,5%,"You actively flag when you think something can be achieved more quickly, even if it was your plan initially and it will involve admitting fault."
Confirmed DeveloperSOFT SKILLSBusiness Acumen,57,Confirmed Developer,SOFT SKILLS,Business Acumen,,1.4,5%,
Confirmed DeveloperSOFT SKILLSBusiness AcumenUnderstanding level,58,Confirmed Developer,SOFT SKILLS,Business Acumen,Understanding level,1.4,100%,"Has a basic understanding of their team's domain, and how it contributes to overall business strategy."
Confirmed DeveloperLEADERSHIP,59,Confirmed Developer,LEADERSHIP,,,0.9,5%,
Confirmed DeveloperLEADERSHIPHiring and Org Design,60,Confirmed Developer,LEADERSHIP,Hiring and Org Design,,0.2,20%,"The ability to understand the needs of the business and ensure that your team can meet them.
A competent interviewer. Able to follow a structured hiring process, and make a decision."
Confirmed DeveloperLEADERSHIPHiring and Org DesignDeploying Teams,61,Confirmed Developer,LEADERSHIP,Hiring and Org Design,Deploying Teams,0.0,40%,You've carved out an additional role for yourself or peers to fulfil a need that a team has.
Confirmed DeveloperLEADERSHIPHiring and Org DesignEmployer Brand,62,Confirmed Developer,LEADERSHIP,Hiring and Org Design,Employer Brand,0.5,40%,"You've helped to establish the company as a good employer through promotion on stage or online.
You've inputted into the company's careers pages."
Confirmed DeveloperLEADERSHIPHiring and Org DesignHiring,63,Confirmed Developer,LEADERSHIP,Hiring and Org Design,Hiring,0.0,20%,"You are regularly part of hiring panels, and have been hiring manager for at least one hire that passed probation."
Confirmed DeveloperLEADERSHIPStakeholder Management,64,Confirmed Developer,LEADERSHIP,Stakeholder Management,,1.4,30%,"The ability to ensure that teams are protected and expectations are set correctly.
Known for being efficient and reliable, and doing what they say they will do.
Proactively managed expectations even when it results in frustration or personal reputation risk."
Confirmed DeveloperLEADERSHIPStakeholder ManagementManaging Goals and Expectations,65,Confirmed Developer,LEADERSHIP,Stakeholder Management,Managing Goals and Expectations,1.1,40%,"You lead multiple smaller projects with external clients or internal stakeholders, with a successful outcome."
Confirmed DeveloperLEADERSHIPStakeholder ManagementForesight,66,Confirmed Developer,LEADERSHIP,Stakeholder Management,Foresight,1.4,30%,"You anticipate issues or requirements on projects in advance and work to raise those with key people outside your team.
This has resulted in noticeable efficiency gains."
Confirmed DeveloperLEADERSHIPStakeholder ManagementEngendering Trust,67,Confirmed Developer,LEADERSHIP,Stakeholder Management,Engendering Trust,1.8,20%,"You run several small to medium sized projects in a leadership capacity, working closely with clients and stakeholders with positive reviews."
Confirmed DeveloperLEADERSHIPStakeholder ManagementProtecting the Team,68,Confirmed Developer,LEADERSHIP,Stakeholder Management,Protecting the Team,1.3,10%,You create space for others in your team to do their best work by managing client or stakeholder relationships.
Confirmed DeveloperLEADERSHIPTeam Leadership,69,Confirmed Developer,LEADERSHIP,Team Leadership,,1.2,20%,"The ability to maintain quality, efficiency and establish trust in your ability."
Confirmed DeveloperLEADERSHIPTeam LeadershipPutting the Team first,70,Confirmed Developer,LEADERSHIP,Team Leadership,Putting the Team first,1.5,50%,N/A
Confirmed DeveloperLEADERSHIPTeam LeadershipDifficult Conversations,71,Confirmed Developer,LEADERSHIP,Team Leadership,Difficult Conversations,0.2,20%,N/A
Confirmed DeveloperLEADERSHIPTeam LeadershipReliability,72,Confirmed Developer,LEADERSHIP,Team Leadership,Reliability,1.3,20%,N/A
Confirmed DeveloperLEADERSHIPTeam LeadershipVulnerability,73,Confirmed Developer,LEADERSHIP,Team Leadership,Vulnerability,1.7,10%,N/A
Confirmed DeveloperLEADERSHIPDeveloping Others,74,Confirmed Developer,LEADERSHIP,Developing Others,,0.5,20%,The ability to develop the skillsets and abilities of your team
Confirmed DeveloperLEADERSHIPDeveloping OthersIdentifying strengths,75,Confirmed Developer,LEADERSHIP,Developing Others,Identifying strengths,0.4,30%,N/A
Confirmed DeveloperLEADERSHIPDeveloping OthersSupporting team growth,76,Confirmed Developer,LEADERSHIP,Developing Others,Supporting team growth,0.4,40%,N/A
Confirmed DeveloperLEADERSHIPDeveloping OthersInvesting in process,77,Confirmed Developer,LEADERSHIP,Developing Others,Investing in process,0.9,20%,N/A
Confirmed DeveloperLEADERSHIPDeveloping OthersFeedback on work,78,Confirmed Developer,LEADERSHIP,Developing Others,Feedback on work,0.7,10%,N/A
Confirmed DeveloperLEADERSHIPCulture & Togetherness,79,Confirmed Developer,LEADERSHIP,Culture & Togetherness,,1.4,10%,"The ability to bring groups together and foster a happy and productive environment.
Actively signals according to behaviour they want to see.
Keeps a cool head around others even in stressful situations. Is involved in the planning and organising of team activities."
Confirmed DeveloperLEADERSHIPCulture & TogethernessSetting an Example,80,Confirmed Developer,LEADERSHIP,Culture & Togetherness,Setting an Example,1.8,50%,"You state your expectations of how your team should work and act, then demonstrate those expectations yourself.
You ask for feedback on your signalling and make a changes where appropriate."
Confirmed DeveloperLEADERSHIPCulture & TogethernessEncouraging diverse opinions,81,Confirmed Developer,LEADERSHIP,Culture & Togetherness,Encouraging diverse opinions,0.8,30%,"You help to organise and activate efforts towards a fairer, more diverse and safer workplace."
Confirmed DeveloperLEADERSHIPCulture & TogethernessDeveloping personal relationships,82,Confirmed Developer,LEADERSHIP,Culture & Togetherness,Developing personal relationships,1.2,20%,You invest in the relationships you are fostering with your team. You respect the sanctity of pastoral care and 1:1 time. You don't cancel and are never late.
Senior DeveloperENGINEERING CRAFT,0,Senior Developer,ENGINEERING CRAFT,,,2.5,60%,
Senior DeveloperENGINEERING CRAFTWriting Code,1,Senior Developer,ENGINEERING CRAFT,Writing Code,,2.5,35%,"The ability to contribute high quality code to production environments.
Is able to consistently write production-ready code across large, complex projects."
Senior DeveloperENGINEERING CRAFTWriting CodeQuality,2,Senior Developer,ENGINEERING CRAFT,Writing Code,Quality,2.6,40%,"You're regularly trusted to lead complex and business-critical coding projects, including guiding others."
Senior DeveloperENGINEERING CRAFTWriting CodeDocumentation,3,Senior Developer,ENGINEERING CRAFT,Writing Code,Documentation,2.4,20%,"Your code is consistently self-documenting where possible.
You've regularly maintained, improved and extended existing documentation unprompted."
Senior DeveloperENGINEERING CRAFTWriting CodeLanguage,4,Senior Developer,ENGINEERING CRAFT,Writing Code,Language,2.8,30%,You're committing quality code in any language your team needs OR you're best in class at one language.
Senior DeveloperENGINEERING CRAFTWriting CodeMentoring,5,Senior Developer,ENGINEERING CRAFT,Writing Code,Mentoring,1.5,10%,You have mentored several junior engineers around code quality.
Senior DeveloperENGINEERING CRAFTTesting,6,Senior Developer,ENGINEERING CRAFT,Testing,,2.9,15%,"The ability to understand and implement great testing practices.
Independently testing, advising the rest of the team on quality of tests."
Senior DeveloperENGINEERING CRAFTTestingTesting your code,7,Senior Developer,ENGINEERING CRAFT,Testing,Testing your code,3.2,50%,"You always write full tests for your code unassisted, covering all edge cases even with complex functionality."
Senior DeveloperENGINEERING CRAFTTestingImproving coverage,8,Senior Developer,ENGINEERING CRAFT,Testing,Improving coverage,2.8,30%,You've worked to improve the quality of your own and your team's test coverage.
Senior DeveloperENGINEERING CRAFTTestingTaking responsibility,9,Senior Developer,ENGINEERING CRAFT,Testing,Taking responsibility,2.4,20%,"You consistently look for and can recall quality metrics to demonstrate your test coverage, and monitor in behalf of your team."
Senior DeveloperENGINEERING CRAFTTestingLeading testing strategy,10,Senior Developer,ENGINEERING CRAFT,Testing,Leading testing strategy,1.0,0%,N/A
Senior DeveloperENGINEERING CRAFTTestingAdvocating for testing,11,Senior Developer,ENGINEERING CRAFT,Testing,Advocating for testing,1.0,0%,N/A
Senior DeveloperENGINEERING CRAFTTechnical Understanding & Prioritisation,12,Senior Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,,2.5,15%,"The ability to develop technical understanding and use this to prioritise tasks appropriately.
Is a technical and prioritisation leader within the team, including taking some ownership of other team members' technical growth and development."
Senior DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationUnderstanding code,13,Senior Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Understanding code,2.2,55%,"You understand your team's domain at a high level, including the breadth of services, how they interact, and data flows between systems.
You understand adjacent domains as they affect your team."
Senior DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationTechnical collaboration,14,Senior Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Technical collaboration,2.6,25%,You actively facilitate technical discussions between team members and have a deep familiarity with technical topics under discussion
Senior DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationWork breakdown,15,Senior Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Work breakdown,2.4,15%,"You review projects critically, ensuring they are appropriately delineated and understood by the team."
Senior DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationTask prioritisation,16,Senior Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Task prioritisation,2.4,10%,"You ensure tasks are prioritised correctly, and that dependencies are noted and well understood by the team, including at the epic level.
You foster a culture of priority setting and highlight the importance of alignment with organizational strategy"
Senior DeveloperENGINEERING CRAFTSoftware Architecture,17,Senior Developer,ENGINEERING CRAFT,Software Architecture,,2.2,15%,"The ability to interact and engage with architectural approaches of the organization.
Is able to consistently design code that is aligned with the overall service architecture."
Senior DeveloperENGINEERING CRAFTSoftware ArchitectureReaction to feedback,18,Senior Developer,ENGINEERING CRAFT,Software Architecture,Reaction to feedback,3.0,20%,N/A
Senior DeveloperENGINEERING CRAFTSoftware ArchitectureCode,19,Senior Developer,ENGINEERING CRAFT,Software Architecture,Code,2.6,20%,You are able to utilize abstractions and code isolation effectively.
Senior DeveloperENGINEERING CRAFTSoftware ArchitectureDesign,20,Senior Developer,ENGINEERING CRAFT,Software Architecture,Design,1.5,30%,"You have deep architectural and design pattern experience.
You consult with team members only on more difficult designs.
You set up new projects to ensure architectural success by anticipating future use cases and making design decisions that minimize the cost of future changes"
Senior DeveloperENGINEERING CRAFTSoftware ArchitectureDevelopment,21,Senior Developer,ENGINEERING CRAFT,Software Architecture,Development,2.0,30%,N/A
Senior DeveloperENGINEERING CRAFTSoftware ArchitectureTechnical debt,22,Senior Developer,ENGINEERING CRAFT,Software Architecture,Technical debt,2.1,0%,"You make plans with technical debt in mind, and how you will pay it down incrementally and consistently.
You advise other team members on recognising and considering it"
Senior DeveloperENGINEERING CRAFTSecurity,23,Senior Developer,ENGINEERING CRAFT,Security,,2.7,10%,"The ability to understand and apply security principles, handle user data appropriately and report security concerns.
Consistently approaches all engineering work with a security lens."
Senior DeveloperENGINEERING CRAFTSecurityKnowledge,24,Senior Developer,ENGINEERING CRAFT,Security,Knowledge,2.8,30%,You have an excellent understanding of security principles and you work to better facilitate the team's understanding.
Senior DeveloperENGINEERING CRAFTSecurityUser data,25,Senior Developer,ENGINEERING CRAFT,Security,User data,3.1,30%,"You have faultless handling of user data, and set an example for others within the team."
Senior DeveloperENGINEERING CRAFTSecurityReporting,26,Senior Developer,ENGINEERING CRAFT,Security,Reporting,2.6,20%,N/A
Senior DeveloperENGINEERING CRAFTSecurityProactivity,27,Senior Developer,ENGINEERING CRAFT,Security,Proactivity,2.1,20%,You actively look for security vulnerabilities both in the code and when providing peer reviews.
Senior DeveloperENGINEERING CRAFTSecurityCollaboration,28,Senior Developer,ENGINEERING CRAFT,Security,Collaboration,2.4,0%,You work with the security teams to help refine technical strategy.
Senior DeveloperENGINEERING CRAFTSecurityStrategy,29,Senior Developer,ENGINEERING CRAFT,Security,Strategy,1.5,0%,N/A
Senior DeveloperENGINEERING CRAFTDebugging & Monitoring,30,Senior Developer,ENGINEERING CRAFT,Debugging & Monitoring,,2.5,10%,"The ability to understand and implement systematic debugging and monitoring practices to diagnose issues.
Uses systematic debugging to diagnose all issues located to a single service and drives monitoring work across the team."
Senior DeveloperENGINEERING CRAFTDebugging & MonitoringDebugging,31,Senior Developer,ENGINEERING CRAFT,Debugging & Monitoring,Debugging,2.8,40%,"You use systematic debugging to diagnose cross service issues, sometimes with help from more senior engineers."
Senior DeveloperENGINEERING CRAFTDebugging & MonitoringTools,32,Senior Developer,ENGINEERING CRAFT,Debugging & Monitoring,Tools,2.6,20%,You can judge whether a new tool is necessary to instrument and monitor systems. You can create that tool if required.
Senior DeveloperENGINEERING CRAFTDebugging & MonitoringPhilosophy,33,Senior Developer,ENGINEERING CRAFT,Debugging & Monitoring,Philosophy,2.1,20%,"You understand the cross-functional and cross-organization implications of your team's monitoring philosophy.
You proactively seek to refine the monitoring philosophy of your team."
Senior DeveloperENGINEERING CRAFTDebugging & MonitoringData,34,Senior Developer,ENGINEERING CRAFT,Debugging & Monitoring,Data,2.4,15%,You are aware of the operational data for your team and use it as a basis for driving changes to your team's services to achieve stability and performance improvements.
Senior DeveloperENGINEERING CRAFTDebugging & MonitoringProfiling,35,Senior Developer,ENGINEERING CRAFT,Debugging & Monitoring,Profiling,2.1,5%,N/A
Senior DeveloperENGINEERING CRAFTDebugging & MonitoringMentoring,36,Senior Developer,ENGINEERING CRAFT,Debugging & Monitoring,Mentoring,1.0,0%,You act as a primary mentor for the rest of their team on running systems.
Senior DeveloperSOFT SKILLS,37,Senior Developer,SOFT SKILLS,,,2.3,30%,
Senior DeveloperSOFT SKILLSEmpathy & Humility,38,Senior Developer,SOFT SKILLS,Empathy & Humility,,2.3,40%,"The ability to share someone else's feelings or experiences by imagining what it would be like to be in that person's situation.
A great person to have in any room.
Trusted by peers and their team.
Can take any problem team and help them drive in the same direction."
Senior DeveloperSOFT SKILLSEmpathy & HumilityCredit and blame,39,Senior Developer,SOFT SKILLS,Empathy & Humility,Credit and blame,2.6,30%,"You're an ally to your peers and wider team, protecting them from undue blame and pushing praise onto them.
You regularly look for opportunities to give praise publicly."
Senior DeveloperSOFT SKILLSEmpathy & HumilityUnderstanding others,40,Senior Developer,SOFT SKILLS,Empathy & Humility,Understanding others,2.7,30%,"You are able to recognise bias in others and help them to see their peers, customers or stakeholders through fresh eyes."
Senior DeveloperSOFT SKILLSEmpathy & HumilityMediation and facilitation,41,Senior Developer,SOFT SKILLS,Empathy & Humility,Mediation and facilitation,2.1,20%,You help teams within your organisation get closer to each other and understand each other's viewpoints.
Senior DeveloperSOFT SKILLSEmpathy & HumilityMentoring,42,Senior Developer,SOFT SKILLS,Empathy & Humility,Mentoring,1.5,20%,You've proactively developed multiple informal or formal mentoring relationship through your ability to understand a peer or subordinate.
Senior DeveloperSOFT SKILLSCommunication,43,Senior Developer,SOFT SKILLS,Communication,,2.0,20%,"The ability to communicate well with those around you with sensitivity to timeliness, medium, brevity and tone.
Communicates with organisation, helps others in team to communicate."
Senior DeveloperSOFT SKILLSCommunicationKeeping people informed,44,Senior Developer,SOFT SKILLS,Communication,Keeping people informed,2.0,50%,"You communicate on behalf of your team to the broader organisation on important or divisive projects, handling any questions in a timely manner."
Senior DeveloperSOFT SKILLSCommunicationLooking for feedback,45,Senior Developer,SOFT SKILLS,Communication,Looking for feedback,2.8,20%,You proactively ask for feedback from important stakeholders in your organisation early in your work.
Senior DeveloperSOFT SKILLSCommunicationDelivering bad news,46,Senior Developer,SOFT SKILLS,Communication,Delivering bad news,1.5,20%,You communicate changes of plan or slip in timelines to a broad group within your organisation and manage expectations effectively until resolution.
Senior DeveloperSOFT SKILLSCommunicationMentoring communicators,47,Senior Developer,SOFT SKILLS,Communication,Mentoring communicators,1.0,10%,"You set up processes around more effective communication for your immediate team, and manage its implementation. You proactively offer good feedback to peers on their communication methods."
Senior DeveloperSOFT SKILLSInitiative,48,Senior Developer,SOFT SKILLS,Initiative,,2.5,20%,"The ability to use your judgment to make decisions and do things without needing to be told what to do.
Refuses to believe that anything is unachievable.
Infectious desire to activate and progress.
Drives others to create their best work.
Like a rocket: just light the fuse."
Senior DeveloperSOFT SKILLSInitiativeCan-do attitude,49,Senior Developer,SOFT SKILLS,Initiative,Can-do attitude,2.8,50%,"You're constantly creating new opportunities for yourself and those around you.
Your team is celebrated for innovation as a result of your contributions."
Senior DeveloperSOFT SKILLSInitiativePro-activity in seeking help,50,Senior Developer,SOFT SKILLS,Initiative,Pro-activity in seeking help,2.4,25%,"You recognise a lack of expertise in yourself and your organisation, and pro-actively found that expertise in areas not given to you.
This leads to a successful outcome on more than one occasion."
Senior DeveloperSOFT SKILLSInitiativeFollow through,51,Senior Developer,SOFT SKILLS,Initiative,Follow through,1.8,25%,You adapt your skillset and knowledge to lead large or complex projects to a successful outcome.
Senior DeveloperSOFT SKILLSObjectivity & Adaptability,52,Senior Developer,SOFT SKILLS,Objectivity & Adaptability,,2.8,10%,"The ability to deal with problems based on conditions that really exist, rather than following fixed theories, ideas, or rules, and to adapt to suit different conditions.
Can take problems outside their skillset and quickly adapt to solve them. Helps other peers to do the same."
Senior DeveloperSOFT SKILLSObjectivity & AdaptabilityEfficient decision-making,53,Senior Developer,SOFT SKILLS,Objectivity & Adaptability,Efficient decision-making,2.6,50%,"You help your team to make decisions in a more timely manner, breaking down assumptions about the shape of the work and encouraging people to value done over perfect."
Senior DeveloperSOFT SKILLSObjectivity & AdaptabilitySelf improvement,54,Senior Developer,SOFT SKILLS,Objectivity & Adaptability,Self improvement,3.5,20%,You can point to several areas of improvement resulting from your focus on improving development areas over time.
Senior DeveloperSOFT SKILLSObjectivity & AdaptabilityObjectivity,55,Senior Developer,SOFT SKILLS,Objectivity & Adaptability,Objectivity,2.7,20%,"You are positive in the face of dramatic changes of plans.
Curveballs are dealt with sensibly without frustration."
Senior DeveloperSOFT SKILLSObjectivity & AdaptabilityTime management,56,Senior Developer,SOFT SKILLS,Objectivity & Adaptability,Time management,2.4,10%,"You're in control of your calendar.
You take no issue with not being involved in a project or meeting if it means saving you time."
Senior DeveloperSOFT SKILLSBusiness Acumen,57,Senior Developer,SOFT SKILLS,Business Acumen,,1.8,10%,
Senior DeveloperSOFT SKILLSBusiness AcumenUnderstanding level,58,Senior Developer,SOFT SKILLS,Business Acumen,Understanding level,1.8,100%,"Has a thorough understanding of their team's domain, and how it contributes to overall business strategy.
Has a basic understanding of adjacent teams' business domains."
Senior DeveloperLEADERSHIP,59,Senior Developer,LEADERSHIP,,,1.3,10%,
Senior DeveloperLEADERSHIPHiring and Org Design,60,Senior Developer,LEADERSHIP,Hiring and Org Design,,0.5,30%,"The ability to understand the needs of the business and ensure that your team can meet them.
A competent interviewer. Able to follow a structured hiring process, and make a decision."
Senior DeveloperLEADERSHIPHiring and Org DesignDeploying Teams,61,Senior Developer,LEADERSHIP,Hiring and Org Design,Deploying Teams,0.2,40%,You've carved out an additional role for yourself or peers to fulfil a need that a team has.
Senior DeveloperLEADERSHIPHiring and Org DesignEmployer Brand,62,Senior Developer,LEADERSHIP,Hiring and Org Design,Employer Brand,1.0,40%,"You've helped to establish the company as a good employer through promotion on stage or online.
You've inputted into the company's careers pages."
Senior DeveloperLEADERSHIPHiring and Org DesignHiring,63,Senior Developer,LEADERSHIP,Hiring and Org Design,Hiring,0.0,20%,"You are regularly part of hiring panels, and have been hiring manager for at least one hire that passed probation."
Senior DeveloperLEADERSHIPStakeholder Management,64,Senior Developer,LEADERSHIP,Stakeholder Management,,2.0,30%,"The ability to ensure that teams are protected and expectations are set correctly.
Is able to proactively inform stakeholders both within and outside the organisation with pertinent and timely information, including bad news.
Able to read and adapt to personalities across the organisation. Has good relationships with all key stakeholders."
Senior DeveloperLEADERSHIPStakeholder ManagementManaging Goals and Expectations,65,Senior Developer,LEADERSHIP,Stakeholder Management,Managing Goals and Expectations,1.7,40%,"You lead multiple larger projects with external clients or internal stakeholders, including managing bad news and scope creep or timeline slippage, with successful outcomes."
Senior DeveloperLEADERSHIPStakeholder ManagementForesight,66,Senior Developer,LEADERSHIP,Stakeholder Management,Foresight,2.0,30%,"You look for misalignment across large scopes of work involving multiple clients or stakeholders, and ensure that they're smoothed out in advance."
Senior DeveloperLEADERSHIPStakeholder ManagementEngendering Trust,67,Senior Developer,LEADERSHIP,Stakeholder Management,Engendering Trust,2.4,20%,You've repeatedly proven yourself able to work closely with clients or stakeholders in ways that earn respect and results. You use their time wisely and lean into their knowledge.
Senior DeveloperLEADERSHIPStakeholder ManagementProtecting the Team,68,Senior Developer,LEADERSHIP,Stakeholder Management,Protecting the Team,2.1,10%,You protect direct reports from difficult stakeholders across multiple projects.
Senior DeveloperLEADERSHIPTeam Leadership,69,Senior Developer,LEADERSHIP,Team Leadership,,1.6,20%,"The ability to maintain quality, efficiency and establish trust in your ability.
Capable of informally managing interns, contractors, suppliers and agencies.
Possibly manages one or two junior team members.
Doesn't look for glory, and doesn't complain about boring work.
Assumes good decisions in others work.
Broadly does what they say they're going to do."
Senior DeveloperLEADERSHIPTeam LeadershipPutting the Team first,70,Senior Developer,LEADERSHIP,Team Leadership,Putting the Team first,2.0,50%,You regularly make time for listening to and understanding the people you're responsible for.
Senior DeveloperLEADERSHIPTeam LeadershipDifficult Conversations,71,Senior Developer,LEADERSHIP,Team Leadership,Difficult Conversations,0.4,20%,"You have helped someone on your team out with a difficult personal decision and acted in an objective, professional manner."
Senior DeveloperLEADERSHIPTeam LeadershipReliability,72,Senior Developer,LEADERSHIP,Team Leadership,Reliability,1.6,20%,You have been open about your intentions when making a team-level decision – for example moving people between teams or introducing new role expectations – and followed through.
Senior DeveloperLEADERSHIPTeam LeadershipVulnerability,73,Senior Developer,LEADERSHIP,Team Leadership,Vulnerability,1.9,10%,"You have proactively admitted fault and weakness in yourself to team members, and admitted a mistake made in work you've done."
Senior DeveloperLEADERSHIPDeveloping Others,74,Senior Developer,LEADERSHIP,Developing Others,,0.9,15%,"The ability to develop the skillsets and abilities of your team.
Able to recognise the strengths of peers, and look for ways to support those strengths through project work.
Has invested time in materials or process to support team growth.
Peers see them as an informal coach."
Senior DeveloperLEADERSHIPDeveloping OthersIdentifying strengths,75,Senior Developer,LEADERSHIP,Developing Others,Identifying strengths,0.8,30%,You recognise natural strengths in your peers which you help them to nurture.
Senior DeveloperLEADERSHIPDeveloping OthersSupporting team growth,76,Senior Developer,LEADERSHIP,Developing Others,Supporting team growth,0.8,40%,"You support and champion peers in their personal growth, celebrating a promotion, successful project or praise from others."
Senior DeveloperLEADERSHIPDeveloping OthersInvesting in process,77,Senior Developer,LEADERSHIP,Developing Others,Investing in process,1.3,20%,You invest in your future through a process of skills assessment to define your future direction.
Senior DeveloperLEADERSHIPDeveloping OthersFeedback on work,78,Senior Developer,LEADERSHIP,Developing Others,Feedback on work,1.1,10%,"Your feedback to peers on their work is honest, actionable and timely.
You put the needs of the project over personal inhibitions.
You're comfortable with having your mind changed."
Senior DeveloperLEADERSHIPCulture & Togetherness,79,Senior Developer,LEADERSHIP,Culture & Togetherness,,1.7,5%,"The ability to bring groups together and foster a happy and productive environment.
Works to build and document behaviours they expect to see.
Has trusted relationships with both junior colleagues and peers, and can describe where the organisation is strong or needs development.
Organises regular team activities."
Senior DeveloperLEADERSHIPCulture & TogethernessSetting an Example,80,Senior Developer,LEADERSHIP,Culture & Togetherness,Setting an Example,2.1,50%,"You make an effort to document a cultural charter for your team, which you cite regularly and stick to rigorously.
If you break your rules, you expect to be called out."
Senior DeveloperLEADERSHIPCulture & TogethernessEncouraging diverse opinions,81,Senior Developer,LEADERSHIP,Culture & Togetherness,Encouraging diverse opinions,1.1,30%,"You're leading efforts to improve diversity in your everyday environment, organising working groups, events and discussion across large parts of your organisation."
Senior DeveloperLEADERSHIPCulture & TogethernessDeveloping personal relationships,82,Senior Developer,LEADERSHIP,Culture & Togetherness,Developing personal relationships,1.4,20%,"You make a point of knowing all about the people who report directly to you.
You build close yet professional relationships with all direct reports fostering good levels of trust."
Staff DeveloperENGINEERING CRAFT,0,Staff Developer,ENGINEERING CRAFT,,,3.0,40%,
Staff DeveloperENGINEERING CRAFTWriting Code,1,Staff Developer,ENGINEERING CRAFT,Writing Code,,3.2,30%,"The ability to contribute exceptional code quality and serve as a technical leader across multiple teams.
Recognized as a go-to expert who influences coding practices and technical decisions within their domain and related areas."
Staff DeveloperENGINEERING CRAFTWriting CodeQuality,2,Staff Developer,ENGINEERING CRAFT,Writing Code,Quality,3.2,40%,"You're recognized as a technical authority across multiple teams, establishing coding standards and best practices that are adopted by related teams. You evaluate and recommend new technologies for your domain."
Staff DeveloperENGINEERING CRAFTWriting CodeDocumentation,3,Staff Developer,ENGINEERING CRAFT,Writing Code,Documentation,3.0,20%,"You create comprehensive documentation strategies for complex projects spanning multiple teams, establishing patterns and practices that others follow."
Staff DeveloperENGINEERING CRAFTWriting CodeLanguage,4,Staff Developer,ENGINEERING CRAFT,Writing Code,Language,3.4,30%,"You're highly proficient in multiple programming languages and serve as the domain expert for your primary technology stack, guiding technology decisions across related teams."
Staff DeveloperENGINEERING CRAFTWriting CodeMentoring,5,Staff Developer,ENGINEERING CRAFT,Writing Code,Mentoring,2.5,10%,"You actively mentor senior engineers across multiple teams, helping them develop technical leadership skills and deep domain expertise."
Staff DeveloperENGINEERING CRAFTTesting,6,Staff Developer,ENGINEERING CRAFT,Testing,,2.5,15%,"The ability to design and implement comprehensive testing strategies across multiple teams.
Serves as a testing expert who influences quality practices beyond their immediate team."
Staff DeveloperENGINEERING CRAFTTestingTesting your code,7,Staff Developer,ENGINEERING CRAFT,Testing,Testing your code,3.6,0%,N/A
Staff DeveloperENGINEERING CRAFTTestingImproving coverage,8,Staff Developer,ENGINEERING CRAFT,Testing,Improving coverage,3.2,0%,N/A
Staff DeveloperENGINEERING CRAFTTestingTaking responsibility,9,Staff Developer,ENGINEERING CRAFT,Testing,Taking responsibility,2.8,0%,N/A
Staff DeveloperENGINEERING CRAFTTestingLeading testing strategy,10,Staff Developer,ENGINEERING CRAFT,Testing,Leading testing strategy,2.5,50%,"You design testing strategies for complex, multi-team projects, establishing testing frameworks and practices that ensure quality across your domain."
Staff DeveloperENGINEERING CRAFTTestingAdvocating for testing,11,Staff Developer,ENGINEERING CRAFT,Testing,Advocating for testing,2.5,50%,"You're consulted by multiple teams when designing testing approaches for new features and systems, serving as the go-to expert for testing strategy in your domain."
Staff DeveloperENGINEERING CRAFTTechnical Understanding & Prioritisation,12,Staff Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,,3.3,15%,"The ability to understand complex technical systems across multiple teams and drive effective technical prioritization.
Bridges technical complexity with business needs across related domains."
Staff DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationUnderstanding code,13,Staff Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Understanding code,3.4,50%,"You have deep expertise across multiple related teams' domains, understanding complex system interactions and serving as the authority on technical architecture within your area."
Staff DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationTechnical collaboration,14,Staff Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Technical collaboration,3.2,25%,"You proactively identify and address technical knowledge gaps across multiple teams, facilitating collaboration and knowledge sharing."
Staff DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationWork breakdown,15,Staff Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Work breakdown,3.0,15%,"You lead the technical breakdown of complex initiatives spanning multiple teams, ensuring proper planning and coordination."
Staff DeveloperENGINEERING CRAFTTechnical Understanding & PrioritisationTask prioritisation,16,Staff Developer,ENGINEERING CRAFT,Technical Understanding & Prioritisation,Task prioritisation,3.0,10%,"You help multiple teams align their technical priorities with business objectives, ensuring efficient use of engineering resources across your domain."
Staff DeveloperENGINEERING CRAFTSoftware Architecture,17,Staff Developer,ENGINEERING CRAFT,Software Architecture,,2.8,15%,"The ability to design and influence architectural decisions across multiple teams.
Drives architectural consistency and quality within their domain while contributing to broader organizational patterns."
Staff DeveloperENGINEERING CRAFTSoftware ArchitectureReaction to feedback,18,Staff Developer,ENGINEERING CRAFT,Software Architecture,Reaction to feedback,3.5,0%,N/A
